0000100SMITH     JOE       20020524000050000M
0000110JONES     JESSE     20151010000051000F
0000130VADER     DARTH     20151012000067000F
0000200FISHER    PEGGY     19910208000065000F
0000300HILLS     MIKE      19970321000080000M
0000325SKYWATER  LUKE      20151025000059500M
0000400JONES     SHERM     20010404000067500M
0000431GRANGER   HERMINE   20151023000047500M
0000500MARCHETTI BRYCE     19980619000056400M
0000599POTTER    ALBUS     20151025000066450M
0000600ADAMS     VICTORIA  19850715000123000F
0000700SIBILA    CARL      19841225000104000M
0000800SLATTERY  CHERI     20000423000090000G
